date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2008-01-01,MUNICIPIO,35001,ES705,ES705A2,ES705A22,5765,41.7,2930,2835,96.76,5489,276,4.79,758,3973,1034,530,385,119,13.15,68.92,17.94,45.1,26.03,19.08,136.41,73.31,11.51,37.23,4451.16,129.52,6.2,134,162,293,243,125,957,5197,246,322,90.15,4.27,5.59
2008-01-01,MUNICIPIO,35002,ES705,ES705A3,ES705A32,28224,35.2,14443,13781,95.42,25957,2267,8.03,5146,20747,2331,1434,736,161,18.23,73.51,8.26,36.04,11.24,24.8,45.3,220.76,6.91,31.57,7889.72,357.73,28.73,1118,1093,1968,1273,652,6104,23959,1474,2791,84.89,5.22,9.89
2008-01-01,MUNICIPIO,35003,ES704,ES704A0,ES704A01,9715,36.3,5302,4413,83.23,5917,3798,39.09,1417,7684,614,391,167,56,14.59,79.09,6.32,26.43,7.99,18.44,43.33,230.78,9.12,27.2,25024.8,38.82,15.18,279,271,605,350,180,1685,4164,1618,3933,42.86,16.65,40.48
2008-01-01,MUNICIPIO,35004,ES708,ES708A0,ES708A01,59040,34.6,30553,28487,93.24,44275,14765,25.01,10360,44408,4272,2569,1295,408,17.55,75.22,7.24,32.95,9.62,23.33,41.24,242.51,9.55,30.31,2427.54,2432.09,608.23,2260,2227,3925,2695,1469,12576,34399,8170,16471,58.26,13.84,27.9
2008-01-01,MUNICIPIO,35005,ES705,ES705A2,ES705A23,1301,45.6,698,603,86.39,1292,9,0.69,87,952,262,134,105,23,6.69,73.17,20.14,36.66,27.52,9.14,301.15,33.21,8.78,40.08,6641.9,19.59,0.14,8,15,41,34,23,121,1264,21,16,97.16,1.61,1.23
2008-01-01,MUNICIPIO,35006,ES705,ES705A1,ES705A10,35542,38.6,17829,17713,99.35,35112,430,1.21,5638,25287,4617,2606,1650,361,15.86,71.15,12.99,40.55,18.26,22.3,81.89,122.11,7.82,35.74,3283.87,1082.32,13.09,1022,1207,2265,1566,764,6824,33381,1205,956,93.92,3.39,2.69
2008-01-01,MUNICIPIO,35007,ES704,ES704A0,ES704A01,715,44.3,361,354,98.06,627,88,12.31,70,507,138,62,47,29,9.79,70.91,19.3,41.03,27.22,13.81,197.14,50.72,21.01,34.06,10370.9,6.89,0.85,0,9,31,41,11,92,614,13,88,85.87,1.82,12.31
2008-01-01,MUNICIPIO,35008,ES705,ES705A2,ES705A21,7424,39.7,3806,3618,95.06,7284,140,1.89,1103,5239,1082,640,345,97,14.86,70.57,14.57,41.71,20.65,21.05,98.1,101.94,8.96,31.89,1602.78,463.2,8.73,211,227,436,313,161,1348,7012,202,210,94.45,2.72,2.83
2008-01-01,MUNICIPIO,35009,ES705,ES705A2,ES705A22,23951,39.2,12027,11924,99.14,23565,386,1.61,3640,16869,3442,1861,1270,311,15.2,70.43,14.37,41.98,20.4,21.58,94.56,105.75,9.04,36.9,6254.51,382.94,6.17,656,696,1552,1039,594,4537,22990,397,564,95.99,1.66,2.35
2008-01-01,MUNICIPIO,35010,ES708,ES708A0,ES708A02,5188,41.6,2712,2476,91.3,4281,907,17.48,709,3586,893,524,262,107,13.67,69.12,17.21,44.67,24.9,19.77,125.95,79.4,11.98,29.34,14565.3,35.62,6.23,139,127,287,225,93,871,3749,460,979,72.26,8.87,18.87
2008-01-01,MUNICIPIO,35011,ES705,ES705A3,ES705A32,28809,36.2,14702,14107,95.95,27533,1276,4.43,4773,21256,2780,1639,903,238,16.57,73.78,9.65,35.53,13.08,22.45,58.24,171.69,8.56,32.48,3908.81,737.03,32.64,966,958,1903,1258,736,5821,26244,910,1655,91.1,3.16,5.74
2008-01-01,MUNICIPIO,35012,ES705,ES705A3,ES705A31,20391,37.9,10722,9669,90.18,11944,8447,41.43,3289,14890,2212,1487,604,121,16.13,73.02,10.85,36.94,14.86,22.09,67.25,148.69,5.47,27.31,17142,118.95,49.28,658,614,1342,906,431,3951,10421,1340,8630,51.11,6.57,42.32
2008-01-01,MUNICIPIO,35013,ES705,ES705A2,ES705A22,8071,41.7,4087,3984,97.48,7995,76,0.94,1075,5557,1439,776,536,127,13.32,68.85,17.83,45.24,25.9,19.34,133.86,74.7,8.83,37.25,3220.46,250.62,2.36,208,211,418,315,146,1298,7731,173,167,95.79,2.14,2.07
2008-01-01,MUNICIPIO,35014,ES704,ES704A0,ES704A02,21354,34.8,11578,9776,84.44,12764,8590,40.23,3422,16652,1280,839,347,94,16.03,77.98,5.99,28.24,7.69,20.55,37.41,267.34,7.34,27.11,35533.4,60.1,24.17,698,728,1394,806,400,4026,8002,4415,8937,37.47,20.68,41.85
2008-01-01,MUNICIPIO,35015,ES704,ES704A0,ES704A03,20283,34.7,11164,9119,81.68,12161,8122,40.04,2803,16332,1148,853,235,60,13.82,80.52,5.66,24.19,7.03,17.16,40.96,244.16,5.23,20.47,38493.8,52.69,21.1,648,616,1067,620,370,3321,7152,4719,8412,35.26,23.27,41.47
2008-01-01,MUNICIPIO,35016,ES705,ES705A1,ES705A10,381123,39.7,185770,195353,105.16,351394,29729,7.8,55168,271933,54022,30118,18641,5263,14.48,71.35,14.17,40.15,19.87,20.29,97.92,102.12,9.74,34.51,10331.6,3688.91,287.75,10208,11519,22481,14882,8041,67131,304258,36243,40622,79.83,9.51,10.66
2008-01-01,MUNICIPIO,35017,ES704,ES704A0,ES704A02,35293,33.6,18487,16806,90.91,28279,7014,19.87,6416,26899,1978,1068,671,239,18.18,76.22,5.6,31.21,7.35,23.85,30.83,324.37,12.08,33.92,29077.1,121.38,24.12,1307,1449,2499,1579,832,7666,19369,7938,7986,54.88,22.49,22.63
2008-01-01,MUNICIPIO,35018,ES708,ES708A0,ES708A01,18300,34.8,9465,8835,93.34,14706,3594,19.64,3353,13695,1252,795,338,119,18.32,74.84,6.84,33.63,9.14,24.48,37.34,267.81,9.5,27,4076.11,448.96,88.17,692,712,1300,872,412,3988,10169,4018,4113,55.57,21.96,22.48
2008-01-01,MUNICIPIO,35019,ES705,ES705A3,ES705A31,51260,38.1,26831,24429,91.05,36248,15012,29.29,7347,38840,5073,3414,1312,347,14.33,75.77,9.9,31.98,13.06,18.92,69.05,144.83,6.84,25.86,33241.9,154.2,45.16,1192,1442,3161,2086,1166,9047,29631,5079,16550,57.81,9.91,32.29
2008-01-01,MUNICIPIO,35020,ES705,ES705A2,ES705A23,8403,39.8,4241,4162,98.14,7559,844,10.04,1123,5961,1319,729,477,113,13.36,70.94,15.7,40.97,22.13,18.84,117.45,85.14,8.57,36.16,12370.8,67.93,6.82,172,193,500,346,233,1444,7403,136,864,88.1,1.62,10.28
2008-01-01,MUNICIPIO,35021,ES705,ES705A1,ES705A10,19042,39.1,9494,9548,100.57,18183,859,4.51,2854,13871,2317,1310,797,210,14.99,72.84,12.17,37.28,16.7,20.58,81.18,123.18,9.06,34.4,2383.19,799.01,36.04,472,513,1223,881,454,3543,16480,1323,1239,86.55,6.95,6.51
2008-01-01,MUNICIPIO,35022,ES705,ES705A3,ES705A32,61325,34.2,31090,30235,97.25,51854,9471,15.44,11816,45024,4485,2728,1401,356,19.27,73.42,7.31,36.21,9.96,26.24,37.96,263.46,7.94,31.24,6252.83,980.76,151.47,2344,2560,4671,3024,1584,14183,46263,3733,11329,75.44,6.09,18.47
2008-01-01,MUNICIPIO,35023,ES705,ES705A2,ES705A22,14146,40.5,7069,7077,100.11,13899,247,1.75,1991,9864,2291,1208,830,253,14.07,69.73,16.2,43.41,23.23,20.18,115.07,86.91,11.04,36.23,4261.82,331.92,5.8,322,356,796,680,354,2508,13481,302,363,95.3,2.13,2.57
2008-01-01,MUNICIPIO,35024,ES708,ES708A0,ES708A02,18798,36.7,9605,9193,95.71,14403,4395,23.38,3137,13932,1729,1086,497,146,16.69,74.11,9.2,34.93,12.41,22.52,55.12,181.43,8.44,28.74,22400.6,83.92,19.62,627,714,1193,801,376,3711,11143,2953,4702,59.28,15.71,25.01
2008-01-01,MUNICIPIO,35025,ES705,ES705A2,ES705A23,2206,46.8,1170,1036,88.55,2176,30,1.36,163,1540,503,284,156,63,7.39,69.81,22.8,43.25,32.66,10.58,308.59,32.41,12.52,31.01,10386.3,21.24,0.29,34,25,64,52,37,212,2111,45,50,95.69,2.04,2.27
2008-01-01,MUNICIPIO,35026,ES705,ES705A1,ES705A10,99201,36.6,49435,49766,100.67,95931,3270,3.3,16969,72137,10095,6019,3224,852,17.11,72.72,10.18,37.52,13.99,23.52,59.49,168.09,8.44,31.94,10033.1,988.74,32.59,3319,3611,6791,4416,2358,20495,89304,5039,4858,90.02,5.08,4.9
2008-01-01,MUNICIPIO,35027,ES705,ES705A2,ES705A21,12818,40.2,6548,6270,95.75,12628,190,1.48,1893,8928,1997,1150,687,160,14.77,69.65,15.58,43.57,22.37,21.2,105.49,94.79,8.01,34.4,2580.73,496.68,7.36,362,346,796,543,265,2312,12126,297,395,94.6,2.32,3.08
2008-01-01,MUNICIPIO,35028,ES708,ES708A0,ES708A01,19487,37.6,10083,9404,93.27,10746,8741,44.86,2884,14722,1881,1281,458,142,14.8,75.55,9.65,32.37,12.78,19.59,65.22,153.32,7.55,24.35,6432.05,302.97,135.9,585,569,1149,769,376,3448,7749,2810,8928,39.76,14.42,45.82
2008-01-01,MUNICIPIO,35029,ES708,ES708A0,ES708A03,5746,36.5,3040,2706,89.01,4882,864,15.04,963,4239,544,319,165,60,16.76,73.77,9.47,35.55,12.83,22.72,56.49,177.02,11.03,30.33,13577.9,42.32,6.36,205,191,364,257,103,1120,4304,501,941,74.9,8.72,16.38
2008-01-01,MUNICIPIO,35030,ES704,ES704A0,ES704A03,13569,34.8,7134,6435,90.2,10883,2686,19.8,2530,9931,1108,640,353,115,18.65,73.19,8.17,36.63,11.16,25.48,43.79,228.34,10.38,31.86,27629.8,49.11,9.72,533,498,1000,666,347,3044,8602,2029,2938,63.39,14.95,21.65
2008-01-01,MUNICIPIO,35031,ES705,ES705A2,ES705A21,8987,36.7,4575,4412,96.44,8528,459,5.11,1592,6439,956,553,311,92,17.71,71.65,10.64,39.57,14.85,24.72,60.05,166.53,9.62,32.53,3880.13,231.62,11.83,329,311,611,457,229,1937,8145,271,571,90.63,3.02,6.35
2008-01-01,MUNICIPIO,35032,ES705,ES705A2,ES705A21,4022,43.4,2127,1895,89.09,3985,37,0.92,436,2806,780,440,270,70,10.84,69.77,19.39,43.34,27.8,15.54,178.9,55.9,8.97,34.62,2212.89,181.75,1.67,87,59,179,161,66,552,3841,74,107,95.5,1.84,2.66
